episode,Reward,step_count,goal_log
241,510.86860886848143,0,46
242,-42.06660871790979,0,46
243,-99.80188770779229,0,46
244,-42.977411276956346,0,46
245,-28.6956803764519,0,46
246,-10.639709646375557,0,46
247,-68.71961973159073,0,46
248,-52.25129964076352,0,46
249,-122.93410967912388,0,46
250,-38.82076049992634,0,46
251,-55.157495948935946,0,46
252,-28.784973399293605,0,46
253,509.16470433448694,0,47
254,-24.54649250779417,0,47
255,-75.56753138981998,0,47
256,-10.674788346935848,0,47
257,-60.24095287003274,0,47
258,-39.11885755036544,0,47
259,-28.753931853071734,0,47
260,-19.95971827496802,0,47
261,-129.56580382699752,0,47
262,-76.82865007992666,0,47
263,-47.081327672675144,0,47
264,-54.631400613771156,0,47
265,-63.79235213808039,0,47
266,504.6574689539246,0,48
267,1.8149822282469437,0,48
268,-53.94989877877103,0,48
269,-120.17197652751534,0,48
270,-28.681040446998356,0,48
271,-112.33170176401026,0,48
272,507.92013418838854,0,49
273,530.352093424616,0,50
274,504.8942387819524,0,51
275,-48.69524634468439,0,51
276,-29.27025560256274,0,51
277,510.5459615329465,0,52
278,-20.198498662107642,0,52
279,-29.220294359858357,0,52
280,-42.476263557039736,0,52
281,509.7723601578234,0,53
282,512.0493276797654,0,54
283,-52.36287628110061,0,54
284,-45.39399729687554,0,54
285,-56.769287220409296,0,54
286,-65.98895115999375,0,54
287,-86.51147282860335,0,54
288,-43.90823337668344,0,54
289,-74.07656651459749,0,54
290,-63.35536659508803,0,54
291,-47.01347076073578,0,54
292,-40.90621155099831,0,54
293,-18.005682611953997,0,54
294,-10.90568169943192,0,54
295,503.10129242318,0,55
296,575.1559110737048,0,56
297,-23.506588754003797,0,56
298,-58.36524044539563,0,56
299,-29.089882649389146,0,56
300,500.5916940297183,0,57
301,5.515411707206955,0,57
302,510.99236089978547,0,58
303,503.1446838169199,0,59
304,504.55380010665664,0,60
305,-52.46840756231887,0,60
306,-29.946523250743763,0,60
307,-17.927553941439303,0,60
308,-30.098433558297028,0,60
309,8.046308756601523,0,60
310,-109.32038485731788,0,60
311,-157.54505204452104,0,60
312,-30.02404402236381,0,60
313,-183.08259246807336,0,60
314,-29.769823687769232,0,60
